City,Country ,Code,Continent,Put Your X Here,List to CSV Converter
London,United Kingdom,LON,Europe,,
Sarajevo,Bosnia and Herzegovina,SJJ,Eastern Europe,,
Sofia - Vrazhdebna,Bulgaria,SOF,Eastern Europe,,
"Budapest, Ferihegy",Hungary,BUD,Eastern Europe,,
Skopje,Macedonia,SKP,Eastern Europe,,
Bucharest,Romania,BUH,Eastern Europe,,
"Bucharest, Otopeni",Romania,OTP,Eastern Europe,,
"Eriwan (Yerevan, Jerevan)",Armenia,EVN,Eastern Europe,,
Baku,Azerbaijan,BAK,Eastern Europe,,
"Minsk, International",Belarus,MSQ,Eastern Europe,,
Mostar,Bosnia and Herzegovina,OMO,Eastern Europe,,
Bourgas/Burgas,Bulgaria,BOJ,Eastern Europe,,
Gorna,Bulgaria,GOZ,Eastern Europe,,
Ruse,Bulgaria,ROU,Eastern Europe,,
Silistra,Bulgaria,SLS,Eastern Europe,,
Targovishte,Bulgaria,TGV,Eastern Europe,,
Varna,Bulgaria,VAR,Eastern Europe,,
Vidin,Bulgaria,VID,Eastern Europe,,
Dubrovnik,Croatia (Hrvatska),DBV,Eastern Europe,,
(Mali) Losinj - Losinj Arpt,Croatia (Hrvatska),LSZ,Eastern Europe,,
Osijek,Croatia (Hrvatska),OSI,Eastern Europe,,
Pula,Croatia (Hrvatska),PUY,Eastern Europe,,
Rijeka,Croatia (Hrvatska),RJK,Eastern Europe,,
Split,Croatia (Hrvatska),SPU,Eastern Europe,,
Zadar,Croatia (Hrvatska),ZAD,Eastern Europe,,
Zagreb - Pleso,Croatia (Hrvatska),ZAG,Eastern Europe,,
Tallinn - Pirita Harbour,Estonia,QUF,Eastern Europe,,
Tallinn - Ulemiste,Estonia,TLL,Eastern Europe,,
Tbilisi - Novo Alexeyevka,Georgia,TBS,Eastern Europe,,
Riga,Latvia,RIX,Eastern Europe,,
Wilna (Vilnius),Lithuania,VNO,Eastern Europe,,
Ohrid,Macedonia,OHD,Eastern Europe,,
Constanza,Romania,CND,Eastern Europe,,
Adler/Sochi,Russia,AER,Eastern Europe,,
Chabarovsk (Khabarovsk),Russia,KHV,Eastern Europe,,
Chita (Tschita),Russia,HTA,Eastern Europe,,
Irkutsk,Russia,IKT,Eastern Europe,,
Kazan (Ka San),Russia,KZN,Eastern Europe,,
Mineralnye Vody,Russia,MRV,Eastern Europe,,
Moscow - Metropolitan Area,Russia,MOW,Eastern Europe,,
Moscow - Domodedovo,Russia,DME,Eastern Europe,,
Moscow - Sheremetyevo,Russia,SVO,Eastern Europe,,
Moscow - Vnukovo,Russia,VKO,Eastern Europe,,
Murmansk,Russia,MMK,Eastern Europe,,
Novosibirsk - Tolmachevo,Russia,OVB,Eastern Europe,,
St. Petersburg (Leningrad) - Pulkovo,Russia,LED,Eastern Europe,,
Ulan-Ude,Russia,UUD,Eastern Europe,,
Velikiye Luki (Welikije Luki),Russia,VLU,Eastern Europe,,
Arkhangelsk,Russian Federation,ARH,Eastern Europe,,
Yakutsk,Russian Federation,YKS,Eastern Europe,,
Bratislava,Slovakia,BTS,Eastern Europe,,
Ljubljana - Brnik,Slovenia,LJU,Eastern Europe,,
Maribor,Slovenia,MBX,Eastern Europe,,
Kiev - Borispol,Ukraine,KBP,Eastern Europe,,
Kiev - Zhulhany,Ukraine,IEV,Eastern Europe,,
"Lvov (Lwow, Lemberg)",Ukraine,LWO,Eastern Europe,,
Nikolaev,Ukraine,NLV,Eastern Europe,,
Odessa,Ukraine,ODS,Eastern Europe,,
Simferopol,Ukraine,SIP,Eastern Europe,,
Belgrad (Beograd),Yugoslavia,BEG,Eastern Europe,,
Nis,Yugoslavia,INI,Eastern Europe,,
Novi Sad,Yugoslavia,QND,Eastern Europe,,
Podgorica,Yugoslavia,TGD,Eastern Europe,,
Pristina,Yugoslavia,PRN,Eastern Europe,,
Tivat,Yugoslavia,TIV,Eastern Europe,,
Tirana - Rinas,Albania,TIA,Eastern Europe,,
Innsbruck - Kranebitten,Austria,INN,Europe,,
Salzburg - W.A. Mozart,Austria,SZG,Europe,,
Wien (Vienna) - Vienna Int'l,Austria,VIE,Europe,,
Copenhagen,Denmark,CPH,Europe,,
Helsinki - Vantaa,Finland,HEL,Europe,,
Berlin,Germany,BER,Europe,,
"Berlin, Schoenefeld",Germany,SXF,Europe,,
"Berlin, Tegel",Germany,TXL,Europe,,
Dresden,Germany,DRS,Europe,,
Hamburg - Fuhlsbuettel,Germany,HAM,Europe,,
Athens,Greece,ATH,Europe,,
"Athens, Hellinikon Airport",Greece,HEW,Europe,,
Corfu,Greece,CFU,Europe,,
Kos,Greece,KGS,Europe,,
Mykonos,Greece,JMK,Europe,,
Mytilene (Lesbos),Greece,MJT,Europe,,
Rhodos,Greece,RHO,Europe,,
Thessaloniki - Makedonia Apt.,Greece,SKG,Europe,,
Ibiza,Ibiza/Spain,IBZ,Europe,,
Cork,Ireland,ORK,Europe,,
Dublin,Ireland,DUB,Europe,,
Galway,Ireland,GWY,Europe,,
Kerry County,Ireland,KIR,Europe,,
Knock,Ireland,NOC,Europe,,
Shannon (Limerick),Ireland,SNN,Europe,,
Cagliari,Italy,CAG,Europe,,
Luga,Malta,MLA,Europe,,
Bergen,Norway,BGO,Europe,,
Oslo,Norway,OSL,Europe,,
Oslo - Sandefjord,Norway,TRF,Europe,,
Krakau,Poland,KRK,Europe,,
Warsaw,Poland,WAW,Europe,,
Lisbon - Lisboa,Portugal,LIS,Europe,,
Ponta Delgada,Portugal,PDL,Europe,,
Palma de Mallorca,Spain,PMI,Europe,,
Sevilla,Spain,SVQ,Europe,,
Valencia,Spain,VLC,Europe,,
Goteborg,Sweden,GOT,Europe,,
Stockholm Metropolitan Area,Sweden,STO,Europe,,
Stockholm - Arlanda,Sweden,ARN,Europe,,
Stockholm - Bromma,Sweden,BMA,Europe,,
Belfast - Harbour,United Kingdom,BHD,Europe,,
Belfast International,United Kingdom,BFS,Europe,,
"Glasgow, Prestwick",United Kingdom,PIK,Europe,,
Glasgow,United Kingdom,GLA,Europe,,
Inverness,United Kingdom,INV,Europe,,
Andorra La Vella H/P,Andorra,ALV,Europe,,
Graz,Austria,GRZ,Europe,,
Klagenfurt,Austria,KLU,Europe,,
Linz - Hoersching,Austria,LNZ,Europe,,
Antwerp,Belgium,ANR,Europe,,
Brussels,Belgium,BRU,Europe,,
Liege,Belgium,LGG,Europe,,
Akrotiri - RAF,Cyprus,AKT,Europe,,
Larnaca,Cyprus,LCA,Europe,,
Limassol,Cyprus,QLI,Europe,,
Nicosia,Cyprus,NIC,Europe,,
Paphos,Cyprus,PFO,Europe,,
Prague - Ruzyne,Czech Republic,PRG,Europe,,
Aarhus,Denmark,AAR,Europe,,
Alborg,Denmark,AAL,Europe,,
Billund,Denmark,BLL,Europe,,
Esbjerg,Denmark,EBJ,Europe,,
Faroer,Denmark,FAE,Europe,,
Karup,Denmark,KRP,Europe,,
Odense,Denmark,ODE,Europe,,
Roenne,Denmark,RNN,Europe,,
Skrydstrup,Denmark,SKS,Europe,,
Soenderborg,Denmark,SGD,Europe,,
Thisted,Denmark,TED,Europe,,
Enontekioe,Finland,ENF,Europe,,
Ivalo,Finland,IVL,Europe,,
Joensuu,Finland,JOE,Europe,,
Jyvaeskylae,Finland,JYV,Europe,,
Kajaani,Finland,KAJ,Europe,,
Kauhajoki,Finland,KHJ,Europe,,
Kemi/Tornio,Finland,KEM,Europe,,
Kittilä,Finland,KTT,Europe,,
Kokkola/Pietarsaari,Finland,KOK,Europe,,
Kuopio,Finland,KUO,Europe,,
Kuusamo,Finland,KAO,Europe,,
Lappeenranta,Finland,LPP,Europe,,
Mariehamn (Maarianhamina),Finland,MHQ,Europe,,
Mikkeli,Finland,MIK,Europe,,
Oulu,Finland,OUL,Europe,,
Pori,Finland,POR,Europe,,
Rovaniemi,Finland,RVN,Europe,,
Savonlinna,Finland,SVL,Europe,,
Seinaejoki,Finland,SJY,Europe,,
Sodankylae,Finland,SOT,Europe,,
Tampere,Finland,TMP,Europe,,
Turku,Finland,TKU,Europe,,
Vaasa,Finland,VAA,Europe,,
Varkaus,Finland,VRK,Europe,,
Ajaccio,France,AJA,Europe,,
Albi,France,LBI,Europe,,
Annecy,France,NCY,Europe,,
Aurillac,France,AUR,Europe,,
Bastia,France,BIA,Europe,,
Biarritz,France,BIQ,Europe,,
Bordeaux,France,BOD,Europe,,
Brest,France,BES,Europe,,
Calvi,France,CLY,Europe,,
Chambery,France,CMF,Europe,,
Clermont Ferrand,France,CFE,Europe,,
Dinard,France,DNR,Europe,,
Figari,France,FSC,Europe,,
Frejus,France,FRJ,Europe,,
Grenoble,France,GNB,Europe,,
La Rochelle,France,LRH,Europe,,
Lannion,France,LAI,Europe,,
Lille,France,LIL,Europe,,
Limoges,France,LIG,Europe,,
Lorient,France,LRT,Europe,,
Lourdes/Tarbes,France,LDE,Europe,,
Lyon,France,LYS,Europe,,
Marseille,France,MRS,Europe,,
Metz,France,MZM,Europe,,
Montpellier - Frejorgues,France,MPL,Europe,,
Mulhouse,France,MLH,Europe,,
Nancy,France,ENC,Europe,,
Nantes,France,NTE,Europe,,
Nice - Cote D'Azur,France,NCE,Europe,,
Nimes,France,FNI,Europe,,
Paris,France,PAR,Europe,,
Paris - Charles de Gaulle,France,CDG,Europe,,
Paris - Le Bourget,France,LBG,Europe,,
Paris - Orly,France,ORY,Europe,,
Pau,France,PUF,Europe,,
Perpignan,France,PGF,Europe,,
Quimper,France,UIP,Europe,,
Rennes,France,RNS,Europe,,
Roanne,France,RNE,Europe,,
Rodez,France,RDZ,Europe,,
Saint Brieuc,France,SBK,Europe,,
St. Etienne,France,EBU,Europe,,
Strassburg,France,SXB,Europe,,
Toulouse - Blagnac,France,TLS,Europe,,
Augsburg,Germany,AGB,Europe,,
Bayreuth,Germany,BYU,Europe,,
Bremen,Germany,BRE,Europe,,
Cologne (Koeln)/Bonn,Germany,CGN,Europe,,
Dortmund,Germany,DTM,Europe,,
Duesseldorf,Germany,DUS,Europe,,
Erfurt,Germany,ERF,Europe,,
Frankfurt/Main Int'l Airport,Germany,FRA,Europe,,
Frankfurt/Hahn,Germany,HNN,Europe,,
Friedrichshafen,Germany,FDH,Europe,,
Hannover,Germany,HAJ,Europe,,
Hof,Germany,HOQ,Europe,,
Karlsruhe-Baden - Soellingen,Germany,FKB,Europe,,
Kiel - Holtenau,Germany,KEL,Europe,,
"Köln, Köln/Bonn",Germany,CGN,Europe,,
Leipzig,Germany,LEJ,Europe,,
Muenchen (Munich) - Franz Josef Strauss,Germany,MUC,Europe,,
Muenster/Osnabrueck,Germany,FMO,Europe,,
Muenster/Osnabrueck,Germany,MSR,Europe,,
Nürnberg (Nuremberg),Germany,NUE,Europe,,
Paderborn/Lippstadt,Germany,PAD,Europe,,
Saarbruecken,Germany,SCN,Europe,,
Stuttgart - Echterdingen,Germany,STR,Europe,,
Westerland,Germany,GWT,Europe,,
"Wiesbaden, Air Base",Germany,WIE,Europe,,
Gibraltar,Gibraltar,GIB,Europe,,
Araxos,Greece,GPA,Europe,,
Chania,Greece,CHQ,Europe,,
Chios,Greece,JKH,Europe,,
Heraklion,Greece,HER,Europe,,
Kalamata,Greece,KLX,Europe,,
Karpathos,Greece,AOK,Europe,,
Kavalla,Greece,KVA,Europe,,
Preveza/Lefkas,Greece,PVK,Europe,,
Saloniki,Greece,SKG,Europe,,
Samos,Greece,SMI,Europe,,
Skiathos,Greece,JSI,Europe,,
Thira,Greece,JTR,Europe,,
Zakynthos,Greece,ZTH,Europe,,
Christmas Line,Iceland,CXI,Europe,,
Egilsstadir,Iceland,EGS,Europe,,
Reykjavik - Metropolitan Area,Iceland,REK,Europe,,
Reykjavik - Keflavik International,Iceland,KEF,Europe,,
Sligo,Ireland,SXL,Europe,,
Alghero Sassari,Italy,AHO,Europe,,
Ancona,Italy,AOI,Europe,,
Bari,Italy,BRI,Europe,,
Bergamo,Italy,BGY,Europe,,
Bologna,Italy,BLQ,Europe,,
"Brescia, Montichiari",Italy,VBS,Europe,,
Brindisi,Italy,BDS,Europe,,
Catania,Italy,CTA,Europe,,
Florence,Italy,FLR,Europe,,
Genoa,Italy,GOA,Europe,,
Lamezia Terme,Italy,SUF,Europe,,
Lampedusa,Italy,LMP,Europe,,
Milan,Italy,MIL,Europe,,
Milan - Linate,Italy,LIN,Europe,,
Milan - Malpensa,Italy,MXP,Europe,,
Milan - Orio Al Serio,Italy,BGY,Europe,,
Naples,Italy,NAP,Europe,,
Olbia,Italy,OLB,Europe,,
Palermo - Punta Raisi,Italy,PMO,Europe,,
Pantelleria,Italy,PNL,Europe,,
Perugia,Italy,PEG,Europe,,
Pescara,Italy,PSR,Europe,,
Pisa - Gal Galilei,Italy,PSA,Europe,,
Reggio Calabria,Italy,REG,Europe,,
Rimini,Italy,RMI,Europe,,
Rome,Italy,ROM,Europe,,
Rome - Ciampino,Italy,CIA,Europe,,
Rome - Fuimicino,Italy,FCO,Europe,,
Trapani,Italy,TPS,Europe,,
Treviso,Italy,TSF,Europe,,
Trieste,Italy,TRS,Europe,,
Turin,Italy,TRN,Europe,,
Venice - Marco Polo,Italy,VCE,Europe,,
Verona (Brescia) Montichiari,Italy,VBS,Europe,,
Verona,Italy,VRN,Europe,,
Luxembourg,Luxembourg,LUX,Europe,,
"Amsterdam, Schiphol",Netherlands,AMS,Europe,,
Den Haag (The Hague),Netherlands,HAG,Europe,,
Eindhoven,Netherlands,EIN,Europe,,
Lelystad,Netherlands,LEY,Europe,,
Maastricht/Aachen,Netherlands,MST,Europe,,
Rotterdam,Netherlands,RTM,Europe,,
Alesund,Norway,AES,Europe,,
Alta,Norway,ALF,Europe,,
Bardufoss,Norway,BDU,Europe,,
Bodo,Norway,BOO,Europe,,
Broennoeysund,Norway,BNN,Europe,,
Evenes,Norway,EVE,Europe,,
Floro,Norway,FRO,Europe,,
Hammerfest,Norway,HFT,Europe,,
Haugesund,Norway,HAU,Europe,,
Kirkenes,Norway,KKN,Europe,,
Kristiansand,Norway,KRS,Europe,,
Kristiansund,Norway,KSU,Europe,,
Lakselv,Norway,LKL,Europe,,
Sogndal,Norway,SOG,Europe,,
Stavanger,Norway,SVG,Europe,,
Tromsoe,Norway,TOS,Europe,,
Trondheim,Norway,TRD,Europe,,
Gdansk,Poland,GDN,Europe,,
"Poznan, Lawica",Poland,POZ,Europe,,
Stettin,Poland,SZZ,Europe,,
Faro,Portugal,FAO,Europe,,
Funchal,Portugal,FNC,Europe,,
Horta,Portugal,HOR,Europe,,
Porto,Portugal,OPO,Europe,,
Porto Santo,Portugal,PXO,Europe,,
Santa Maria,Portugal,SMA,Europe,,
Terceira,Portugal,TER,Europe,,
Alicante,Spain,ALC,Europe,,
Almeria,Spain,LEI,Europe,,
Arrecife/Lanzarote,Spain,ACE,Europe,,
Badajoz,Spain,BJZ,Europe,,
Barcelona,Spain,BCN,Europe,,
Bilbao,Spain,BIO,Europe,,
Cordoba,Spain,ODB,Europe,,
Fuerteventura,Spain,FUE,Europe,,
Gerona,Spain,GRO,Europe,,
Granada,Spain,GRX,Europe,,
Jerez de la Frontera/Cadiz,Spain,XRY,Europe,,
La Coruna,Spain,LCG,Europe,,
Las Palmas,Spain,LPA,Europe,,
Madrid - Barajas,Spain,MAD,Europe,,
Mahon,Spain,MAH,Europe,,
Malaga,Spain,AGP,Europe,,
Murcia,Spain,MJV,Europe,,
Oviedo,Spain,OVD,Europe,,
Reus,Spain,REU,Europe,,
San Sebastian,Spain,EAS,Europe,,
Santa Cruz de la Palma,Spain,SPC,Europe,,
Santander,Spain,SDR,Europe,,
Santiago de Compostela,Spain,SCQ,Europe,,
Tenerife,Spain,TCI,Europe,,
Tenerife - Sur Reina Sofia,Spain,TFS,Europe,,
Tenerife - Norte Los Rodeos,Spain,TFN,Europe,,
Valladolid,Spain,VLL,Europe,,
Valverde,Spain,VDE,Europe,,
Vigo,Spain,VGO,Europe,,
Vitoria,Spain,VIT,Europe,,
Zaragoza,Spain,ZAZ,Europe,,
Longyearbyen - Svalbard,Svalbard/Norway,LYR,Europe,,
Helsingborg,Sweden,JHE,Europe,,
Joenkoeping,Sweden,JKG,Europe,,
Kalmar,Sweden,KLR,Europe,,
Karlstad,Sweden,KSD,Europe,,
Kiruna,Sweden,KRN,Europe,,
Kristianstad,Sweden,KID,Europe,,
Lidkoeping,Sweden,LDK,Europe,,
Lulea,Sweden,LLA,Europe,,
Malmo (Malmoe),Sweden,MMA,Europe,,
Malmo (Malmoe) - Sturup,Sweden,MMX,Europe,,
Norrkoeping,Sweden,NRK,Europe,,
Oerebro,Sweden,ORB,Europe,,
Ronneby,Sweden,RNB,Europe,,
Sundsvall,Sweden,SDL,Europe,,
Vaexjoe,Sweden,VXO,Europe,,
Vasteras,Sweden,VST,Europe,,
Visby,Sweden,VBY,Europe,,
Altenrhein,Switzerland,ACH,Europe,,
Basel,Switzerland,BSL,Europe,,
Bern,Switzerland,BRN,Europe,,
Bern,Switzerland,ZDJ,Europe,,
Geneva,Switzerland,GVA,Europe,,
Lugano,Switzerland,LUG,Europe,,
Zurich (Zürich) - Kloten,Switzerland,ZRH,Europe,,
Basel/Mulhouse,Switzerland/France,EAP,Europe,,
Los Rodeos,Teneriffa/Spain,TFN,Europe,,
Reina Sofia,Teneriffa/Spain,TFS,Europe,,
"Sheffield, City Airport",UK,SZD,Europe,,
Aberdeen,United Kingdom,ABZ,Europe,,
Birmingham,United Kingdom,BHX,Europe,,
Bristol,United Kingdom,BRS,Europe,,
Cambrigde,United Kingdom,CBG,Europe,,
Cardiff,United Kingdom,CWL,Europe,,
Derby (East Midlands),United Kingdom,EMA,Europe,,
Derry (Londonderry),United Kingdom,LDY,Europe,,
Edinburgh,United Kingdom,EDI,Europe,,
Guernsey,United Kingdom,GCI,Europe,,
Humberside,United Kingdom,HUY,Europe,,
Isle of Man,United Kingdom,IOM,Europe,,
Jersey,United Kingdom,JER,Europe,,
Leeds/Bradford,United Kingdom,LBA,Europe,,
Liverpool,United Kingdom,LPL,Europe,,
London - City Airport,United Kingdom,LCY,Europe,,
London - Gatwick,United Kingdom,LGW,Europe,,
London - Heathrow,United Kingdom,LHR,Europe,,
London - Luton,United Kingdom,LTN,Europe,,
London - Stansted,United Kingdom,STN,Europe,,
Manchester,United Kingdom,MAN,Europe,,
Newcastle,United Kingdom,NCL,Europe,,
Orkney,United Kingdom,KOI,Europe,,
Southampton - Eastleigh,United Kingdom,SOU,Europe,,
Southend,United Kingdom,SEN,Europe,,
Stansted (London),United Kingdom,STN,Europe,,
Stornway,United Kingdom,SYY,Europe,,